frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
85,2.829,0,0,transition,unknown,131.66,137.28,128.12,150.03,17.7,7.79,173.11,177.45,1,1,0,0,0,0,0,0,0,,
86,2.863,0,0,transition,unknown,130.76,140.6,128.93,150.03,17.55,7.13,173.37,178.49,1,1,0,0,0,0,0,0,0,,
87,2.896,0,0,transition,unknown,131.18,140.6,129.64,150.03,17.32,7.06,173.37,178.37,1,1,0,0,0,0,0,0,0,,
88,2.929,0,0,transition,unknown,130.34,138.42,130.0,150.03,17.59,8.32,173.57,178.72,1,1,0,0,0,0,0,0,0,,
89,2.963,0,0,transition,unknown,130.17,138.3,130.15,150.03,17.95,8.01,173.44,179.06,1,1,0,0,0,0,0,0,0,,
90,2.996,0,0,transition,unknown,129.04,139.15,130.2,150.03,18.22,9.52,173.49,179.17,1,1,0,0,0,0,0,0,0,,
91,3.029,0,0,transition,unknown,130.32,140.25,130.35,150.03,18.8,8.23,173.58,179.41,1,1,0,0,0,0,0,0,0,,
92,3.062,0,0,transition,unknown,130.22,139.81,130.5,150.03,18.52,8.33,174.21,180.0,1,1,0,0,0,0,0,0,0,,
93,3.096,0,0,transition,unknown,129.82,142.13,130.57,150.03,18.51,8.5,174.17,179.88,1,1,0,0,0,0,0,0,0,,
94,3.129,0,0,transition,unknown,130.69,140.01,130.58,150.03,18.51,8.63,174.41,179.88,1,1,0,0,0,0,0,0,0,,
95,3.162,0,0,transition,unknown,131.26,140.37,130.6,150.03,18.93,8.44,174.24,179.88,1,1,0,0,0,0,0,0,0,,
96,3.196,0,0,transition,unknown,131.07,140.2,130.54,150.03,19.03,8.9,174.34,179.88,1,1,0,0,0,0,0,0,0,,
97,3.229,0,0,transition,unknown,130.73,140.9,130.47,150.03,19.28,8.94,174.23,179.65,1,1,0,0,0,0,0,0,0,,
98,3.262,0,0,transition,unknown,129.53,138.8,130.36,150.03,19.63,8.85,174.41,180.0,1,1,0,0,0,0,0,0,0,,
99,3.295,0,0,transition,unknown,130.01,138.21,130.27,150.03,19.2,8.99,174.25,179.65,1,1,0,0,0,0,0,0,0,,
100,3.329,0,0,transition,unknown,130.99,141.13,130.32,150.03,18.63,8.96,174.05,179.88,1,1,0,0,0,0,0,0,0,,
101,3.362,0,0,transition,unknown,129.97,141.99,130.3,150.03,19.23,8.27,173.58,179.29,1,1,0,0,0,0,0,0,0,,
102,3.395,0,0,transition,unknown,130.12,141.03,130.39,150.03,18.45,7.87,174.06,178.82,1,1,0,0,0,0,0,0,0,,
103,3.429,0,0,transition,unknown,129.39,136.2,130.32,150.03,18.09,6.73,173.62,179.05,1,1,0,0,0,0,0,0,0,,
104,3.462,0,0,transition,unknown,127.24,136.86,130.07,150.03,17.04,4.34,173.23,179.27,1,1,0,0,0,0,0,0,0,,
105,3.495,0,0,transition,unknown,127.84,137.14,129.9,150.03,16.76,4.34,173.1,179.28,1,1,0,0,0,0,0,0,0,,
106,3.528,0,0,transition,unknown,127.06,131.29,129.6,150.03,15.98,1.82,172.15,179.29,1,1,0,0,0,0,0,0,0,,
107,3.562,0,0,transition,unknown,115.54,123.28,128.29,150.03,10.12,1.28,172.97,179.38,1,1,0,0,0,0,0,0,0,,
108,3.595,0,0,transition,unknown,111.68,128.67,126.67,150.03,7.72,8.28,172.7,179.75,1,1,0,0,0,0,0,0,0,,
109,3.628,0,0,transition,unknown,105.53,123.15,124.58,150.03,5.07,8.27,173.1,178.67,1,1,0,0,0,0,0,0,0,,
110,3.662,0,0,transition,unknown,99.12,108.27,122.04,150.03,1.51,2.72,173.0,179.74,1,1,0,0,0,0,0,0,0,,
111,3.695,0,0,transition,unknown,98.12,107.92,119.38,150.03,0.95,3.12,172.89,179.87,1,1,0,0,0,0,0,0,0,,
112,3.728,0,0,transition,unknown,93.41,110.94,116.25,150.03,1.8,5.26,172.11,178.69,1,1,0,0,0,0,0,0,0,,
113,3.761,0,0,transition,unknown,87.61,127.62,112.72,150.03,2.41,16.43,173.28,177.7,1,1,0,0,0,0,0,0,0,,
114,3.795,0,0,transition,unknown,85.09,112.45,108.97,150.03,4.65,23.21,173.55,178.36,1,0,0,0,0,0,0,0,0,,
115,3.828,0,0,transition,unknown,80.9,86.43,104.93,150.03,9.13,28.26,173.04,177.8,0,0,0,0,0,0,0,0,0,,
116,3.861,0,0,transition,unknown,68.6,74.78,100.04,150.03,13.42,24.94,172.86,178.36,0,0,0,0,0,0,0,0,0,,
117,3.895,0,0,transition,unknown,68.82,74.07,95.12,150.03,13.15,24.53,172.71,178.35,0,0,0,0,0,0,0,0,0,,
118,3.928,0,0,transition,unknown,64.42,65.56,89.9,150.03,17.05,27.39,171.79,179.07,0,0,0,0,0,0,0,0,0,,
119,3.961,0,0,transition,unknown,58.77,58.6,85.17,150.03,21.44,30.79,171.19,177.43,0,0,0,0,0,0,0,0,0,,
120,3.994,0,0,transition,unknown,55.93,55.24,80.53,150.03,21.42,32.67,171.16,177.01,0,0,0,0,0,0,0,0,0,,
121,4.028,0,0,transition,unknown,50.9,53.73,75.97,150.03,22.77,34.93,171.54,177.99,0,0,0,0,0,0,0,0,0,,
122,4.061,0,0,transition,unknown,51.69,53.62,72.02,150.03,23.2,36.8,170.91,178.24,0,0,0,0,0,0,0,0,0,,
123,4.094,0,0,transition,unknown,52.32,53.81,68.21,150.03,22.98,36.46,170.91,178.23,0,0,0,0,0,0,0,0,0,,
124,4.128,0,0,transition,unknown,50.62,55.23,64.64,150.03,23.55,38.96,170.89,178.24,0,0,0,0,0,0,0,0,0,,
125,4.161,0,0,transition,unknown,50.99,56.71,61.59,150.03,25.87,42.14,171.51,178.46,0,0,0,0,0,0,0,0,0,,
126,4.194,0,0,transition,unknown,50.82,55.84,58.73,150.03,27.56,42.76,171.57,178.35,0,0,0,0,0,0,0,0,0,,
127,4.227,0,0,transition,unknown,50.53,54.94,56.2,150.03,27.34,42.53,171.74,178.83,0,0,0,0,0,0,0,0,0,,
128,4.261,0,0,transition,unknown,51.14,53.51,54.75,150.03,28.64,42.21,171.87,178.63,0,0,0,0,0,0,0,0,0,,
129,4.294,0,0,transition,unknown,51.42,54.21,53.3,150.03,28.98,42.62,171.96,178.62,0,0,0,0,0,0,0,0,0,,
130,4.327,0,0,transition,unknown,50.6,54.3,52.14,150.03,27.43,43.49,171.62,178.83,0,0,0,0,0,0,0,0,0,,
131,4.361,0,0,transition,unknown,50.32,54.23,51.44,150.03,26.01,40.35,172.26,179.43,0,0,0,0,0,0,0,0,0,,
132,4.394,0,0,transition,unknown,50.09,52.54,50.95,150.03,24.72,36.5,172.04,179.31,0,0,0,0,0,0,0,0,0,,
133,4.427,0,0,transition,unknown,52.18,53.24,51.06,150.03,25.68,36.04,171.55,178.84,0,0,0,0,0,0,0,0,0,,
134,4.46,0,0,transition,unknown,52.57,55.73,51.13,150.03,23.32,35.02,171.61,178.37,0,0,0,0,0,0,0,0,0,,
135,4.494,0,0,transition,unknown,52.38,55.46,51.14,150.03,23.14,35.1,171.5,178.36,0,0,0,0,0,0,0,0,0,,
136,4.527,0,0,transition,unknown,52.99,56.88,51.34,150.03,21.54,34.26,171.41,179.29,0,0,0,0,0,0,0,0,0,,
137,4.56,0,0,transition,unknown,53.05,57.81,51.51,150.03,19.04,32.2,171.28,179.17,0,0,0,0,0,0,0,0,0,,
138,4.594,0,0,transition,unknown,55.24,60.42,51.88,150.03,19.55,31.98,171.05,180.0,0,0,0,0,0,0,0,0,0,,
139,4.627,0,0,transition,unknown,58.22,59.39,52.52,150.03,18.25,27.44,170.41,179.77,0,0,0,0,0,0,0,0,0,,
140,4.66,0,0,transition,unknown,59.87,67.51,53.25,150.03,15.74,27.1,170.89,179.43,0,0,0,0,0,0,0,0,0,,
141,4.693,0,0,transition,unknown,60.76,68.33,54.02,150.03,16.53,27.11,170.97,179.77,0,0,0,0,0,0,0,0,0,,
142,4.727,0,0,transition,unknown,62.53,69.87,55.02,150.03,13.53,26.34,171.45,179.66,0,0,0,0,0,0,0,0,0,,
143,4.76,0,0,transition,unknown,67.35,67.73,56.44,150.03,10.38,28.39,171.61,179.77,0,0,0,0,0,0,0,0,0,,
144,4.793,0,0,transition,unknown,70.21,71.68,58.11,150.03,8.58,25.16,171.41,179.88,0,0,0,0,0,0,0,0,0,,
145,4.827,0,0,transition,unknown,75.66,72.27,60.07,150.03,6.48,23.81,171.59,179.88,1,0,0,0,0,0,0,0,0,,
146,4.86,0,0,transition,unknown,78.33,81.81,62.22,150.03,3.51,12.61,171.65,178.8,1,1,0,0,0,0,0,0,0,,
147,4.893,0,0,transition,unknown,77.19,83.39,64.28,150.03,3.64,18.03,171.33,178.07,1,1,0,0,0,0,0,0,0,,
148,4.927,0,0,transition,unknown,81.58,94.02,66.67,150.03,2.25,19.82,171.18,176.89,1,0,0,0,0,0,0,0,0,,
149,4.96,0,0,transition,unknown,83.4,104.48,69.2,150.03,0.92,23.19,171.7,177.52,1,0,0,0,0,0,0,0,0,,
150,4.993,0,0,transition,unknown,84.83,108.72,71.66,150.03,0.34,11.01,171.59,176.14,1,1,0,0,0,0,0,0,0,,
151,5.026,0,0,transition,unknown,84.7,113.88,73.87,150.03,0.76,5.88,171.11,175.69,1,1,0,0,0,0,0,0,0,,
152,5.06,0,0,transition,unknown,84.83,121.67,75.95,150.03,2.38,9.19,170.39,175.8,1,1,0,0,0,0,0,0,0,,
153,5.093,0,0,transition,unknown,84.12,118.81,77.89,150.03,2.2,8.67,170.48,175.8,1,1,0,0,0,0,0,0,0,,
154,5.126,0,0,transition,unknown,86.49,107.66,79.89,150.03,3.9,3.18,171.19,176.55,1,1,0,0,0,0,0,0,0,,
155,5.16,0,0,transition,unknown,92.68,106.8,82.0,150.03,6.7,1.38,170.9,177.4,1,1,0,0,0,0,0,0,0,,
156,5.193,0,0,transition,unknown,96.76,104.99,84.21,150.03,7.13,0.48,171.25,177.79,1,1,0,0,0,0,0,0,0,,
157,5.226,0,0,transition,unknown,101.49,109.76,86.37,150.03,7.33,0.59,171.66,177.93,1,1,0,0,0,0,0,0,0,,
158,5.259,0,0,transition,unknown,101.73,120.16,88.32,150.03,9.14,4.56,171.26,178.03,1,1,0,0,0,0,0,0,0,,
159,5.293,0,0,transition,unknown,101.53,119.49,90.35,150.03,9.2,4.46,171.41,177.91,1,1,0,0,0,0,0,0,0,,
160,5.326,0,0,transition,unknown,103.88,120.68,92.2,150.03,11.38,3.93,170.68,177.05,1,1,0,0,0,0,0,0,0,,
161,5.359,0,0,transition,unknown,107.8,116.76,94.24,150.03,12.3,3.82,169.55,176.85,1,1,0,0,0,0,0,0,0,,
162,5.393,0,0,transition,unknown,115.23,125.75,96.77,150.03,13.13,2.59,169.52,177.81,1,1,0,0,0,0,0,0,0,,
163,5.426,0,0,transition,unknown,121.16,122.32,99.81,150.03,13.85,1.62,169.46,178.03,1,1,0,0,0,0,0,0,0,,
164,5.459,0,0,transition,unknown,122.43,121.52,102.94,150.03,15.02,1.01,169.32,178.42,1,1,0,0,0,0,0,0,0,,
165,5.492,0,0,transition,unknown,122.75,120.78,106.16,150.03,14.8,1.12,169.32,178.53,1,1,0,0,0,0,0,0,0,,
166,5.526,0,0,transition,unknown,123.04,128.04,109.21,150.03,15.12,0.07,170.17,178.28,1,1,0,0,0,0,0,0,0,,
167,5.559,0,0,transition,unknown,124.81,130.68,111.88,150.03,16.58,2.29,170.24,177.71,1,1,0,0,0,0,0,0,0,,
168,5.592,0,0,transition,unknown,125.03,134.41,114.24,150.03,17.53,1.82,170.14,177.73,1,1,0,0,0,0,0,0,0,,
169,5.626,0,0,transition,unknown,126.58,131.99,116.33,150.03,17.88,5.34,170.16,176.91,1,1,0,0,0,0,0,0,0,,
170,5.659,0,0,transition,unknown,129.27,134.25,118.63,150.03,17.99,5.78,170.77,177.0,1,1,0,0,0,0,0,0,0,,
171,5.692,0,0,transition,unknown,129.53,135.99,120.96,150.03,18.47,5.29,170.79,177.03,1,1,0,0,0,0,0,0,0,,
172,5.725,0,0,transition,unknown,130.01,135.24,123.14,150.03,18.77,6.55,170.75,177.16,1,1,0,0,0,0,0,0,0,,
173,5.759,0,0,transition,unknown,129.16,141.91,124.92,150.03,18.4,8.75,171.56,177.37,1,1,0,0,0,0,0,0,0,,
174,5.792,0,0,transition,unknown,129.63,141.33,126.12,150.03,18.82,8.0,172.06,177.87,1,1,0,0,0,0,0,0,0,,
