model_name,model_file,video_name,video_path,prediction,prediction_label,confidence_good,confidence_bad,features_used
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,1,Good Form,0.775,0.225,18
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,Biceps_Curl_Exercise_Video_Generated.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps_Curl_Exercise_Video_Generated.mp4,1,Good Form,0.745,0.255,18
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,perfect.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\perfect.mp4,1,Good Form,0.725,0.275,18
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,1,Good Form,0.725,0.275,18
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,toprak.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\toprak.mp4,1,Good Form,0.66,0.34,18
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,valid.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\valid.mp4,1,Good Form,0.83,0.17,18
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,Video Project.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Video Project.mp4,1,Good Form,0.89,0.11,18
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,WhatsApp Video 2025-12-06 at 01.25.16.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\WhatsApp Video 2025-12-06 at 01.25.16.mp4,1,Good Form,0.9,0.1,18
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,1.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\1.mp4,1,Good Form,0.89,0.11,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,Biceps curl !!   Nutrition.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps curl !!   Nutrition.mp4,1,Good Form,0.56,0.44,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,0,Bad Form,0.485,0.515,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,Biceps_Curl_Exercise_Video_Generated.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps_Curl_Exercise_Video_Generated.mp4,1,Good Form,0.735,0.265,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,perfect.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\perfect.mp4,1,Good Form,0.63,0.37,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,1,Good Form,0.655,0.345,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,toprak.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\toprak.mp4,1,Good Form,0.63,0.37,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,valid.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\valid.mp4,1,Good Form,0.715,0.285,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,Video Project.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Video Project.mp4,1,Good Form,0.775,0.225,11
Symmetric Mean,biceps_curl_rf_symmetric_mean.joblib,WhatsApp Video 2025-12-06 at 01.25.16.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\WhatsApp Video 2025-12-06 at 01.25.16.mp4,1,Good Form,0.785,0.215,11
